Computed a variance of 0.210820
=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=279, mse_train=820294134.138844, mse_validation=331212273.426596
epoch=280, mse_train=820017984.941748, mse_validation=331085680.473227
epoch=281, mse_train=819743033.504970, mse_validation=330959634.144099
epoch=282, mse_train=819469274.139123, mse_validation=330834131.853838
epoch=283, mse_train=819196701.183719, mse_validation=330709171.030176
epoch=284, mse_train=818925309.007016, mse_validation=330584749.113878
epoch=285, mse_train=818655092.005868, mse_validation=330460863.558673
epoch=286, mse_train=818386044.605556, mse_validation=330337511.831184
epoch=287, mse_train=818118161.259640, mse_validation=330214691.410852
epoch=288, mse_train=817851436.449794, mse_validation=330092399.789871
epoch=289, mse_train=817585864.685679, mse_validation=329970634.473119
epoch=290, mse_train=817321440.504754, mse_validation=329849392.978085
epoch=291, mse_train=817058158.472152, mse_validation=329728672.834798
epoch=292, mse_train=816796013.180515, mse_validation=329608471.585772
epoch=293, mse_train=816534999.249848, mse_validation=329488786.785920
epoch=294, mse_train=816275111.327377, mse_validation=329369616.002499
epoch=295, mse_train=816016344.087382, mse_validation=329250956.815039
epoch=296, mse_train=815758692.231072, mse_validation=329132806.815276
epoch=297, mse_train=815502150.486421, mse_validation=329015163.607085
epoch=298, mse_train=815246713.608033, mse_validation=328898024.806415
epoch=299, mse_train=814992376.376992, mse_validation=328781388.041225
epoch=300, mse_train=814739133.600718, mse_validation=328665250.951416
epoch=301, mse_train=814486980.112834, mse_validation=328549611.188766
epoch=302, mse_train=814235910.773004, mse_validation=328434466.416871
epoch=303, mse_train=813985920.466808, mse_validation=328319814.311072
epoch=304, mse_train=813737004.105600, mse_validation=328205652.558401
epoch=305, mse_train=813489156.626360, mse_validation=328091978.857509
epoch=306, mse_train=813242372.991560, mse_validation=327978790.918610
epoch=307, mse_train=812996648.189031, mse_validation=327866086.463416
epoch=308, mse_train=812751977.231815, mse_validation=327753863.225071
epoch=309, mse_train=812508355.158037, mse_validation=327642118.948096
epoch=310, mse_train=812265777.030769, mse_validation=327530851.388322
epoch=311, mse_train=812024237.937890, mse_validation=327420058.312835
epoch=312, mse_train=811783732.991953, mse_validation=327309737.499907
epoch=313, mse_train=811544257.330066, mse_validation=327199886.738941
epoch=314, mse_train=811305806.113722, mse_validation=327090503.830413
epoch=315, mse_train=811068374.528724, mse_validation=326981586.585808
epoch=316, mse_train=810831957.785001, mse_validation=326873132.827561
epoch=317, mse_train=810596551.116507, mse_validation=326765140.389001
epoch=318, mse_train=810362149.781086, mse_validation=326657607.114290
epoch=319, mse_train=810128749.060340, mse_validation=326550530.858365
epoch=320, mse_train=809896344.259501, mse_validation=326443909.486881
epoch=321, mse_train=809664930.707304, mse_validation=326337740.876154
epoch=322, mse_train=809434503.755877, mse_validation=326232022.913102
epoch=323, mse_train=809205058.780581, mse_validation=326126753.495187
epoch=324, mse_train=808976591.179917, mse_validation=326021930.530362
epoch=325, mse_train=808749096.375392, mse_validation=325917551.937016
epoch=326, mse_train=808522569.811384, mse_validation=325813615.643909
epoch=327, mse_train=808297006.955034, mse_validation=325710119.590127
epoch=328, mse_train=808072403.296128, mse_validation=325607061.725021
epoch=329, mse_train=807848754.346949, mse_validation=325504440.008152
epoch=330, mse_train=807626055.642187, mse_validation=325402252.409241
epoch=331, mse_train=807404302.738800, mse_validation=325300496.908109
epoch=332, mse_train=807183491.215908, mse_validation=325199171.494625
epoch=333, mse_train=806963616.674662, mse_validation=325098274.168654
epoch=334, mse_train=806744674.738129, mse_validation=324997802.940003
epoch=335, mse_train=806526661.051190, mse_validation=324897755.828368
epoch=336, mse_train=806309571.280400, mse_validation=324798130.863276
epoch=337, mse_train=806093401.113890, mse_validation=324698926.084042
epoch=338, mse_train=805878146.261239, mse_validation=324600139.539712
epoch=339, mse_train=805663802.453374, mse_validation=324501769.289007
epoch=340, mse_train=805450365.442446, mse_validation=324403813.400280
epoch=341, mse_train=805237831.001718, mse_validation=324306269.951460
epoch=342, mse_train=805026194.925453, mse_validation=324209137.029999
epoch=343, mse_train=804815453.028805, mse_validation=324112412.732826
epoch=344, mse_train=804605601.147711, mse_validation=324016095.166294
epoch=345, mse_train=804396635.138770, mse_validation=323920182.446131
epoch=346, mse_train=804188550.879138, mse_validation=323824672.697389
epoch=347, mse_train=803981344.266421, mse_validation=323729564.054395
epoch=348, mse_train=803775011.218568, mse_validation=323634854.660704
epoch=349, mse_train=803569547.673762, mse_validation=323540542.669045
epoch=350, mse_train=803364949.590299, mse_validation=323446626.241280
epoch=351, mse_train=803161212.946507, mse_validation=323353103.548345
epoch=352, mse_train=802958333.740620, mse_validation=323259972.770214
epoch=353, mse_train=802756307.990671, mse_validation=323167232.095842
epoch=354, mse_train=802555131.734414, mse_validation=323074879.723122
epoch=355, mse_train=802354801.029182, mse_validation=322982913.858835
epoch=356, mse_train=802155311.951808, mse_validation=322891332.718606
epoch=357, mse_train=801956660.598522, mse_validation=322800134.526857
epoch=358, mse_train=801758843.084828, mse_validation=322709317.516757
epoch=359, mse_train=801561855.545434, mse_validation=322618879.930177
epoch=360, mse_train=801365694.134112, mse_validation=322528820.017649
epoch=361, mse_train=801170355.023641, mse_validation=322439136.038316
epoch=362, mse_train=800975834.405665, mse_validation=322349826.259885
epoch=363, mse_train=800782128.490623, mse_validation=322260888.958584
epoch=364, mse_train=800589233.507635, mse_validation=322172322.419118
epoch=365, mse_train=800397145.704410, mse_validation=322084124.934628
epoch=366, mse_train=800205861.347140, mse_validation=321996294.806636
epoch=367, mse_train=800015376.720418, mse_validation=321908830.345008
epoch=368, mse_train=799825688.127131, mse_validation=321821729.867913
epoch=369, mse_train=799636791.888355, mse_validation=321734991.701772
epoch=370, mse_train=799448684.343278, mse_validation=321648614.181220
epoch=371, mse_train=799261361.849089, mse_validation=321562595.649060
epoch=372, mse_train=799074820.780900, mse_validation=321476934.456224
epoch=373, mse_train=798889057.531630, mse_validation=321391628.961724
epoch=374, mse_train=798704068.511937, mse_validation=321306677.532617
epoch=375, mse_train=798519850.150094, mse_validation=321222078.543955
epoch=376, mse_train=798336398.891932, mse_validation=321137830.378751
epoch=377, mse_train=798153711.200719, mse_validation=321053931.427933
epoch=378, mse_train=797971783.557083, mse_validation=320970380.090299
epoch=379, mse_train=797790612.458920, mse_validation=320887174.772488
epoch=380, mse_train=797610194.421296, mse_validation=320804313.888920
epoch=381, mse_train=797430525.976369, mse_validation=320721795.861778
epoch=382, mse_train=797251603.673287, mse_validation=320639619.120947
epoch=383, mse_train=797073424.078112, mse_validation=320557782.103987
epoch=384, mse_train=796895983.773713, mse_validation=320476283.256087
epoch=385, mse_train=796719279.359707, mse_validation=320395121.030025
epoch=386, mse_train=796543307.452337, mse_validation=320314293.886134
epoch=387, mse_train=796368064.684422, mse_validation=320233800.292255
epoch=388, mse_train=796193547.705229, mse_validation=320153638.723702
